CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 25.468750 1745540154.3646
MEM 25.468750 1745540154.4659
MEM 25.468750 1745540154.5661
MEM 25.468750 1745540154.6664
MEM 25.468750 1745540154.7666
MEM 25.468750 1745540154.8675
MEM 25.468750 1745540154.9683
MEM 25.468750 1745540155.0690
MEM 25.468750 1745540155.1695
MEM 25.468750 1745540155.2702
MEM 25.468750 1745540155.3710
MEM 25.468750 1745540155.4715
MEM 25.468750 1745540155.5716
MEM 25.468750 1745540155.6727
MEM 25.468750 1745540155.7734
MEM 25.468750 1745540155.8741
MEM 25.468750 1745540155.9744
MEM 25.468750 1745540156.0752
MEM 25.468750 1745540156.1758
MEM 25.468750 1745540156.2763
MEM 25.468750 1745540156.3768
MEM 25.468750 1745540156.4777
MEM 25.468750 1745540156.5784
MEM 25.468750 1745540156.6787
MEM 25.468750 1745540156.7794
MEM 25.468750 1745540156.8797
MEM 25.468750 1745540156.9804
MEM 25.468750 1745540157.0808
MEM 25.468750 1745540157.1817
MEM 25.468750 1745540157.2824
MEM 25.468750 1745540157.3828
MEM 25.468750 1745540157.4836
MEM 25.468750 1745540157.5845
MEM 25.468750 1745540157.6851
MEM 25.468750 1745540157.7858
MEM 25.468750 1745540157.8860
MEM 25.468750 1745540157.9868
MEM 25.468750 1745540158.0875
MEM 25.468750 1745540158.1877
MEM 25.468750 1745540158.2884
MEM 25.468750 1745540158.3891
MEM 25.468750 1745540158.4897
MEM 25.468750 1745540158.5907
MEM 25.468750 1745540158.6917
MEM 25.468750 1745540158.7939
MEM 25.468750 1745540158.8947
MEM 25.468750 1745540158.9948
MEM 25.468750 1745540159.0958
MEM 25.468750 1745540159.1965
MEM 25.468750 1745540159.2968
MEM 25.468750 1745540159.3975
MEM 25.468750 1745540159.4978
MEM 25.468750 1745540159.5985
MEM 25.468750 1745540159.6991
MEM 25.468750 1745540159.7998
MEM 25.468750 1745540159.9006
MEM 25.472656 1745540160.0015
MEM 25.472656 1745540160.1023
MEM 25.472656 1745540160.2025
MEM 25.472656 1745540160.3035
MEM 25.472656 1745540160.4043
MEM 25.472656 1745540160.5046
MEM 25.472656 1745540160.6048
MEM 25.472656 1745540160.7050
MEM 25.472656 1745540160.8053
MEM 27.757812 1745540160.9060
MEM 32.980469 1745540161.0065
MEM 34.578125 1745540161.1068
MEM 37.480469 1745540161.2075
MEM 37.984375 1745540161.3077
MEM 45.031250 1745540161.4080
MEM 51.816406 1745540161.5083
MEM 51.816406 1745540161.6085
MEM 51.824219 1745540161.7094
MEM 51.824219 1745540161.8098
MEM 51.824219 1745540161.9100
MEM 51.824219 1745540162.0111
MEM 51.824219 1745540162.1122
MEM 51.824219 1745540162.2131
MEM 51.824219 1745540162.3136
MEM 51.824219 1745540162.4139
MEM 51.824219 1745540162.5146
MEM 51.824219 1745540162.6150
MEM 51.824219 1745540162.7157
MEM 51.824219 1745540162.8163
MEM 51.824219 1745540162.9165
MEM 51.824219 1745540163.0173
MEM 51.824219 1745540163.1181
MEM 51.824219 1745540163.2187
MEM 51.824219 1745540163.3192
MEM 51.824219 1745540163.4197
MEM 51.824219 1745540163.5203
MEM 51.824219 1745540163.6212
MEM 51.824219 1745540163.7222
MEM 51.824219 1745540163.8229
MEM 51.824219 1745540163.9231
MEM 51.824219 1745540164.0242
MEM 51.824219 1745540164.1251
MEM 51.824219 1745540164.2255
MEM 51.824219 1745540164.3265
MEM 51.824219 1745540164.4270
MEM 51.824219 1745540164.5272
MEM 51.824219 1745540164.6280
MEM 51.824219 1745540164.7291
MEM 51.824219 1745540164.8301
MEM 51.824219 1745540164.9302
MEM 51.824219 1745540165.0312
MEM 51.824219 1745540165.1322
MEM 51.824219 1745540165.2330
MEM 51.824219 1745540165.3332
MEM 51.824219 1745540165.4334
MEM 51.824219 1745540165.5336
MEM 51.824219 1745540165.6339
MEM 51.824219 1745540165.7340
MEM 51.824219 1745540165.8342
MEM 51.824219 1745540165.9351
MEM 51.824219 1745540166.0356
MEM 51.824219 1745540166.1357
MEM 51.824219 1745540166.2361
